"Cholera due to Vibrio cholerae 01, biovar cholerae",A000
"Cholera due to Vibrio cholerae 01, biovar eltor",A001
"Cholera, unspecified",A009
"Typhoid fever, unspecified",A010
Typhoid meningitis,A010
Typhoid fever with heart involvement,A010
Typhoid pneumonia,A010
Typhoid arthritis,A010
Typhoid osteomyelitis,A010
Typhoid fever with other complications,A010
Paratyphoid fever A,A011
Paratyphoid fever B,A012
Paratyphoid fever C,A013
"Paratyphoid fever, unspecified",A014
Salmonella enteritis,A020
Salmonella sepsis,A021
"Localized salmonella infection, unspecified",A022
Salmonella meningitis,A022
Salmonella pneumonia,A022
Salmonella arthritis,A022
Salmonella osteomyelitis,A022
Salmonella pyelonephritis,A022
Salmonella with other localized infection,A022
Other specified salmonella infections,A028
"Salmonella infection, unspecified",A029
Shigellosis due to Shigella dysenteriae,A030
Shigellosis due to Shigella flexneri,A031
Shigellosis due to Shigella boydii,A032
Shigellosis due to Shigella sonnei,A033
Other shigellosis,A038
"Shigellosis, unspecified",A039
Enteropathogenic Escherichia coli infection,A040
Enterotoxigenic Escherichia coli infection,A041
Enteroinvasive Escherichia coli infection,A042
Enterohemorrhagic Escherichia coli infection,A043
Other intestinal Escherichia coli infections,A044
Campylobacter enteritis,A045
Enteritis due to Yersinia enterocolitica,A046
Enterocolitis due to Clostridium difficile,A047
Other specified bacterial intestinal infections,A048
"Bacterial intestinal infection, unspecified",A049
Foodborne staphylococcal intoxication,A050
Botulism food poisoning,A051
Foodborne Clostridium perfringens [Clostridium welchii] intoxication,A052
Foodborne Vibrio parahaemolyticus intoxication,A053
Foodborne Bacillus cereus intoxication,A054
Foodborne Vibrio vulnificus intoxication,A055
Other specified bacterial foodborne intoxications,A058
"Bacterial foodborne intoxication, unspecified",A059
Acute amebic dysentery,A060
Chronic intestinal amebiasis,A061
Amebic nondysenteric colitis,A062
Ameboma of intestine,A063
Amebic liver abscess,A064
Amebic lung abscess,A065
Amebic brain abscess,A066
Cutaneous amebiasis,A067
Amebic cystitis,A068
Other amebic genitourinary infections,A068
Other amebic infections,A068
"Amebiasis, unspecified",A069
Balantidiasis,A070
Giardiasis [lambliasis],A071
Cryptosporidiosis,A072
Isosporiasis,A073
Cyclosporiasis,A074
Other specified protozoal intestinal diseases,A078
"Protozoal intestinal disease, unspecified",A079
Rotaviral enteritis,A080
Acute gastroenteropathy due to Norwalk agent,A081
Acute gastroenteropathy due to other small round viruses,A081
Adenoviral enteritis,A082
Calicivirus enteritis,A083
Astrovirus enteritis,A083
Other viral enteritis,A083
"Viral intestinal infection, unspecified",A084
Other specified intestinal infections,A088
"Infectious gastroenteritis and colitis, unspecified",A09
Tuberculosis of lung,A150
Tuberculosis of intrathoracic lymph nodes,A154
"Tuberculosis of larynx, trachea and bronchus",A155
Tuberculous pleurisy,A156
Primary respiratory tuberculosis,A157
Other respiratory tuberculosis,A158
Respiratory tuberculosis unspecified,A159
Tuberculous meningitis,A170
Meningeal tuberculoma,A171
Tuberculoma of brain and spinal cord,A178
Tuberculous meningoencephalitis,A178
Tuberculous neuritis,A178
Other tuberculosis of nervous system,A178
"Tuberculosis of nervous system, unspecified",A179
Tuberculosis of spine,A180
Tuberculous arthritis of other joints,A180
Tuberculosis of other bones,A180
