Unspecified maternal infectious and parasitic disease complicating the puerperium,O989
"Anemia complicating pregnancy, first trimester",O990
"Anemia complicating pregnancy, second trimester",O990
"Anemia complicating pregnancy, third trimester",O990
"Anemia complicating pregnancy, unspecified trimester",O990
Anemia complicating childbirth,O990
Anemia complicating the puerperium,O990
"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, first trimester",O991
"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, second trimester",O991
"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, third trimester",O991
"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, unspecified trimester",O991
Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating childbirth,O991
Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating the puerperium,O991
"Obesity complicating pregnancy, unspecified trimester",O992
"Obesity complicating pregnancy, first trimester",O992
"Obesity complicating pregnancy, second trimester",O992
"Obesity complicating pregnancy, third trimester",O992
Obesity complicating childbirth,O992
Obesity complicating the puerperium,O992
"Endocrine, nutritional and metabolic diseases complicating pregnancy, unspecified trimester",O992
"Endocrine, nutritional and metabolic diseases complicating pregnancy, first trimester",O992
"Endocrine, nutritional and metabolic diseases complicating pregnancy, second trimester",O992
"Endocrine, nutritional and metabolic diseases complicating pregnancy, third trimester",O992
"Endocrine, nutritional and metabolic diseases complicating childbirth",O992
"Endocrine, nutritional and metabolic diseases complicating the puerperium",O992
"Alcohol use complicating pregnancy, unspecified trimester",O993
"Alcohol use complicating pregnancy, first trimester",O993
"Alcohol use complicating pregnancy, second trimester",O993
"Alcohol use complicating pregnancy, third trimester",O993
Alcohol use complicating childbirth,O993
Alcohol use complicating the puerperium,O993
"Drug use complicating pregnancy, unspecified trimester",O993
"Drug use complicating pregnancy, first trimester",O993
"Drug use complicating pregnancy, second trimester",O993
"Drug use complicating pregnancy, third trimester",O993
Drug use complicating childbirth,O993
Drug use complicating the puerperium,O993
"Smoking (tobacco) complicating pregnancy, unspecified trimester",O993
"Smoking (tobacco) complicating pregnancy, first trimester",O993
"Smoking (tobacco) complicating pregnancy, second trimester",O993
"Smoking (tobacco) complicating pregnancy, third trimester",O993
Smoking (tobacco) complicating childbirth,O993
Smoking (tobacco) complicating the puerperium,O993
"Other mental disorders complicating pregnancy, unspecified trimester",O993
"Other mental disorders complicating pregnancy, first trimester",O993
"Other mental disorders complicating pregnancy, second trimester",O993
"Other mental disorders complicating pregnancy, third trimester",O993
Other mental disorders complicating childbirth,O993
Other mental disorders complicating the puerperium,O993
"Diseases of the nervous system complicating pregnancy, unspecified trimester",O993
"Diseases of the nervous system complicating pregnancy, first trimester",O993
"Diseases of the nervous system complicating pregnancy, second trimester",O993
"Diseases of the nervous system complicating pregnancy, third trimester",O993
Diseases of the nervous system complicating childbirth,O993
Diseases of the nervous system complicating the puerperium,O993
"Diseases of the circulatory system complicating pregnancy, first trimester",O994
"Diseases of the circulatory system complicating pregnancy, second trimester",O994
"Diseases of the circulatory system complicating pregnancy, third trimester",O994
"Diseases of the circulatory system complicating pregnancy, unspecified trimester",O994
Diseases of the circulatory system complicating childbirth,O994
Diseases of the circulatory system complicating the puerperium,O994
"Diseases of the respiratory system complicating pregnancy, first trimester",O995
"Diseases of the respiratory system complicating pregnancy, second trimester",O995
"Diseases of the respiratory system complicating pregnancy, third trimester",O995
"Diseases of the respiratory system complicating pregnancy, unspecified trimester",O995
Diseases of the respiratory system complicating childbirth,O995
Diseases of the respiratory system complicating the puerperium,O995
"Diseases of the digestive system complicating pregnancy, first trimester",O996
"Diseases of the digestive system complicating pregnancy, second trimester",O996
"Diseases of the digestive system complicating pregnancy, third trimester",O996
"Diseases of the digestive system complicating pregnancy, unspecified trimester",O996
Diseases of the digestive system complicating childbirth,O996
Diseases of the digestive system complicating the puerperium,O996
"Diseases of the skin and subcutaneous tissue complicating pregnancy, first trimester",O997
"Diseases of the skin and subcutaneous tissue complicating pregnancy, second trimester",O997
"Diseases of the skin and subcutaneous tissue complicating pregnancy, third trimester",O997
"Diseases of the skin and subcutaneous tissue complicating pregnancy, unspecified trimester",O997
Diseases of the skin and subcutaneous tissue complicating childbirth,O997
Diseases of the skin and subcutaneous tissue complicating the puerperium,O997
Abnormal glucose complicating pregnancy,O998
Abnormal glucose complicating childbirth,O998
Abnormal glucose complicating the puerperium,O998
Streptococcus B carrier state complicating pregnancy,O998
Streptococcus B carrier state complicating childbirth,O998
Streptococcus B carrier state complicating the puerperium,O998
Other infection carrier state complicating pregnancy,O998
Other infection carrier state complicating childbirth,O998
Other infection carrier state complicating the puerperium,O998
"Bariatric surgery status complicating pregnancy, unspecified trimester",O998
"Bariatric surgery status complicating pregnancy, first trimester",O998
"Bariatric surgery status complicating pregnancy, second trimester",O998
"Bariatric surgery status complicating pregnancy, third trimester",O998
Bariatric surgery status complicating childbirth,O998
