"Other effects of air pressure and water pressure, sequela",T708
"Effect of air pressure and water pressure, unspecified, initial encounter",T709
"Effect of air pressure and water pressure, unspecified, subsequent encounter",T709
"Effect of air pressure and water pressure, unspecified, sequela",T709
"Asphyxiation due to smothering under pillow, accidental, initial encounter",T711
"Asphyxiation due to smothering under pillow, accidental, subsequent encounter",T711
"Asphyxiation due to smothering under pillow, accidental, sequela",T711
"Asphyxiation due to smothering under pillow, intentional self-harm, initial encounter",T711
"Asphyxiation due to smothering under pillow, intentional self-harm, subsequent encounter",T711
"Asphyxiation due to smothering under pillow, intentional self-harm, sequela",T711
"Asphyxiation due to smothering under pillow, assault, initial encounter",T711
"Asphyxiation due to smothering under pillow, assault, subsequent encounter",T711
"Asphyxiation due to smothering under pillow, assault, sequela",T711
"Asphyxiation due to smothering under pillow, undetermined, initial encounter",T711
"Asphyxiation due to smothering under pillow, undetermined, subsequent encounter",T711
"Asphyxiation due to smothering under pillow, undetermined, sequela",T711
"Asphyxiation due to plastic bag, accidental, initial encounter",T711
"Asphyxiation due to plastic bag, accidental, subsequent encounter",T711
"Asphyxiation due to plastic bag, accidental, sequela",T711
"Asphyxiation due to plastic bag, intentional self-harm, initial encounter",T711
"Asphyxiation due to plastic bag, intentional self-harm, subsequent encounter",T711
"Asphyxiation due to plastic bag, intentional self-harm, sequela",T711
"Asphyxiation due to plastic bag, assault, initial encounter",T711
"Asphyxiation due to plastic bag, assault, subsequent encounter",T711
"Asphyxiation due to plastic bag, assault, sequela",T711
"Asphyxiation due to plastic bag, undetermined, initial encounter",T711
"Asphyxiation due to plastic bag, undetermined, subsequent encounter",T711
"Asphyxiation due to plastic bag, undetermined, sequela",T711
"Asphyxiation due to being trapped in bed linens, accidental, initial encounter",T711
"Asphyxiation due to being trapped in bed linens, accidental, subsequent encounter",T711
"Asphyxiation due to being trapped in bed linens, accidental, sequela",T711
"Asphyxiation due to being trapped in bed linens, intentional self-harm, initial encounter",T711
"Asphyxiation due to being trapped in bed linens, intentional self-harm, subsequent encounter",T711
"Asphyxiation due to being trapped in bed linens, intentional self-harm, sequela",T711
"Asphyxiation due to being trapped in bed linens, assault, initial encounter",T711
"Asphyxiation due to being trapped in bed linens, assault, subsequent encounter",T711
"Asphyxiation due to being trapped in bed linens, assault, sequela",T711
"Asphyxiation due to being trapped in bed linens, undetermined, initial encounter",T711
"Asphyxiation due to being trapped in bed linens, undetermined, subsequent encounter",T711
"Asphyxiation due to being trapped in bed linens, undetermined, sequela",T711
"Asphyxiation due to smothering under another person's body (in bed), accidental, initial encounter",T711
"Asphyxiation due to smothering under another person's body (in bed), accidental, subsequent encounter",T711
"Asphyxiation due to smothering under another person's body (in bed), accidental, sequela",T711
"Asphyxiation due to smothering under another person's body (in bed), assault, initial encounter",T711
"Asphyxiation due to smothering under another person's body (in bed), assault, subsequent encounter",T711
"Asphyxiation due to smothering under another person's body (in bed), assault, sequela",T711
"Asphyxiation due to smothering under another person's body (in bed), undetermined, initial encounter",T711
"Asphyxiation due to smothering under another person's body (in bed), undetermined, subsequent encounter",T711
"Asphyxiation due to smothering under another person's body (in bed), undetermined, sequela",T711
"Asphyxiation due to smothering in furniture, accidental, initial encounter",T711
"Asphyxiation due to smothering in furniture, accidental, subsequent encounter",T711
"Asphyxiation due to smothering in furniture, accidental, sequela",T711
"Asphyxiation due to smothering in furniture, intentional self-harm, initial encounter",T711
"Asphyxiation due to smothering in furniture, intentional self-harm, subsequent encounter",T711
"Asphyxiation due to smothering in furniture, intentional self-harm, sequela",T711
"Asphyxiation due to smothering in furniture, assault, initial encounter",T711
"Asphyxiation due to smothering in furniture, assault, subsequent encounter",T711
"Asphyxiation due to smothering in furniture, assault, sequela",T711
"Asphyxiation due to smothering in furniture, undetermined, initial encounter",T711
"Asphyxiation due to smothering in furniture, undetermined, subsequent encounter",T711
"Asphyxiation due to smothering in furniture, undetermined, sequela",T711
"Asphyxiation due to hanging, accidental, initial encounter",T711
"Asphyxiation due to hanging, accidental, subsequent encounter",T711
"Asphyxiation due to hanging, accidental, sequela",T711
"Asphyxiation due to hanging, intentional self-harm, initial encounter",T711
"Asphyxiation due to hanging, intentional self-harm, subsequent encounter",T711
"Asphyxiation due to hanging, intentional self-harm, sequela",T711
"Asphyxiation due to hanging, assault, initial encounter",T711
"Asphyxiation due to hanging, assault, subsequent encounter",T711
"Asphyxiation due to hanging, assault, sequela",T711
"Asphyxiation due to hanging, undetermined, initial encounter",T711
"Asphyxiation due to hanging, undetermined, subsequent encounter",T711
"Asphyxiation due to hanging, undetermined, sequela",T711
"Asphyxiation due to mechanical threat to breathing due to other causes, accidental, initial encounter",T711
